assessment_id,employee_id,competency,skill,score,assessment_type,assessment_date,notes,organization_id
69,6,Personal Development,Influence,3.8,self,2025-03-21,Self assessment for Influence,
70,6,Collaboration,Cross-Functional Collaboration,3.0,self,2025-03-21,Self assessment for Cross-Functional Collaboration,
71,6,Communication,Competitive Analysis,4.6,self,2025-03-21,Self assessment for Competitive Analysis,
72,6,Open Minded,Resource Management and Operations,3.4,self,2025-03-21,Self assessment for Resource Management and Operations,
73,6,Expertise,Visual Design,3.6,manager,2025-03-21,Manager assessment for Visual Design,
74,6,Decision Making,Interaction Design,3.4,manager,2025-03-21,Manager assessment for Interaction Design,
75,6,Continuous Improvement,Design Systems and A11y,2.7,manager,2025-03-21,Manager assessment for Design Systems and A11y,
76,6,Accountability,UX Strategy,2.9,manager,2025-03-21,Manager assessment for UX Strategy,
77,6,Initiative,User Testing and Validation,3.8,manager,2025-03-21,Manager assessment for User Testing and Validation,
78,6,Personal Development,Influence,4.0,manager,2025-03-21,Manager assessment for Influence,
79,6,Collaboration,Cross-Functional Collaboration,3.6,manager,2025-03-21,Manager assessment for Cross-Functional Collaboration,
80,6,Communication,Competitive Analysis,4.0,manager,2025-03-21,Manager assessment for Competitive Analysis,
81,6,Open Minded,Resource Management and Operations,3.1,manager,2025-03-21,Manager assessment for Resource Management and Operations,
82,7,Expertise,Visual Design,2.5,self,2025-03-21,Self assessment for Visual Design,
83,7,Decision Making,Interaction Design,3.5,self,2025-03-21,Self assessment for Interaction Design,
84,7,Continuous Improvement,Design Systems and A11y,5.0,self,2025-03-21,Self assessment for Design Systems and A11y,
85,7,Accountability,UX Strategy,3.1,self,2025-03-21,Self assessment for UX Strategy,
86,7,Initiative,User Testing and Validation,4.2,self,2025-03-21,Self assessment for User Testing and Validation,
87,7,Personal Development,Influence,3.8,self,2025-03-21,Self assessment for Influence,
88,7,Collaboration,Cross-Functional Collaboration,3.6,self,2025-03-21,Self assessment for Cross-Functional Collaboration,
89,7,Communication,Competitive Analysis,4.2,self,2025-03-21,Self assessment for Competitive Analysis,
90,7,Open Minded,Resource Management and Operations,3.2,self,2025-03-21,Self assessment for Resource Management and Operations,
91,7,Expertise,Visual Design,4.6,manager,2025-03-21,Manager assessment for Visual Design,
92,7,Decision Making,Interaction Design,4.2,manager,2025-03-21,Manager assessment for Interaction Design,
93,7,Continuous Improvement,Design Systems and A11y,3.9,manager,2025-03-21,Manager assessment for Design Systems and A11y,
94,7,Accountability,UX Strategy,4.4,manager,2025-03-21,Manager assessment for UX Strategy,
95,7,Initiative,User Testing and Validation,4.1,manager,2025-03-21,Manager assessment for User Testing and Validation,
96,7,Personal Development,Influence,4.8,manager,2025-03-21,Manager assessment for Influence,
97,7,Collaboration,Cross-Functional Collaboration,2.7,manager,2025-03-21,Manager assessment for Cross-Functional Collaboration,
98,7,Communication,Competitive Analysis,3.8,manager,2025-03-21,Manager assessment for Competitive Analysis,
99,7,Open Minded,Resource Management and Operations,3.4,manager,2025-03-21,Manager assessment for Resource Management and Operations,
100,8,Expertise,Visual Design,2.3,self,2025-03-21,Self assessment for Visual Design,
101,8,Decision Making,Interaction Design,2.7,self,2025-03-21,Self assessment for Interaction Design,
102,8,Continuous Improvement,Design Systems and A11y,1.3,self,2025-03-21,Self assessment for Design Systems and A11y,
103,8,Accountability,UX Strategy,1.7,self,2025-03-21,Self assessment for UX Strategy,
104,8,Initiative,User Testing and Validation,2.0,self,2025-03-21,Self assessment for User Testing and Validation,
105,8,Personal Development,Influence,1.0,self,2025-03-21,Self assessment for Influence,
106,8,Collaboration,Cross-Functional Collaboration,2.4,self,2025-03-21,Self assessment for Cross-Functional Collaboration,
107,8,Communication,Competitive Analysis,1.0,self,2025-03-21,Self assessment for Competitive Analysis,
108,8,Open Minded,Resource Management and Operations,3.0,self,2025-03-21,Self assessment for Resource Management and Operations,
109,8,Expertise,Visual Design,3.6,manager,2025-03-21,Manager assessment for Visual Design,
110,8,Decision Making,Interaction Design,1.3,manager,2025-03-21,Manager assessment for Interaction Design,
111,8,Continuous Improvement,Design Systems and A11y,1.7,manager,2025-03-21,Manager assessment for Design Systems and A11y,
112,8,Accountability,UX Strategy,1.6,manager,2025-03-21,Manager assessment for UX Strategy,
113,8,Initiative,User Testing and Validation,1.1,manager,2025-03-21,Manager assessment for User Testing and Validation,
114,8,Personal Development,Influence,3.8,manager,2025-03-21,Manager assessment for Influence,
115,8,Collaboration,Cross-Functional Collaboration,2.8,manager,2025-03-21,Manager assessment for Cross-Functional Collaboration,
116,8,Communication,Competitive Analysis,1.0,manager,2025-03-21,Manager assessment for Competitive Analysis,
117,8,Open Minded,Resource Management and Operations,1.0,manager,2025-03-21,Manager assessment for Resource Management and Operations,
118,5,Expertise,Visual Design,3.0,manager,2025-03-21,,
119,5,Decision Making,Interaction Design,3.0,manager,2025-03-21,,
120,5,Continuous Improvement,Design Systems and A11y,3.0,manager,2025-03-21,,
121,5,Accountability,UX Strategy,3.5,manager,2025-03-21,,
122,5,Initiative,User Testing and Validation,3.5,manager,2025-03-21,,
123,5,Personal Development,Influence,3.5,manager,2025-03-21,,
124,5,Collaboration,Cross-Functional Collaboration,3.5,manager,2025-03-21,,
125,5,Communication,Competitive Analysis,3.5,manager,2025-03-21,,
126,5,Open Minded,Resource Management and Operations,3.5,manager,2025-03-21,,
127,2,Expertise,Visual Design,4.0,manager,2025-03-22,,
128,2,Decision Making,Interaction Design,3.5,manager,2025-03-22,,
129,2,Continuous Improvement,Design Systems and A11y,4.0,manager,2025-03-22,,
130,2,Accountability,UX Strategy,3.0,manager,2025-03-22,,
131,2,Initiative,User Testing and Validation,3.5,manager,2025-03-22,,
132,2,Personal Development,Influence,4.5,manager,2025-03-22,,
133,2,Collaboration,Cross-Functional Collaboration,4.5,manager,2025-03-22,,
134,2,Open Minded,Resource Management and Operations,4.5,manager,2025-03-22,,
135,2,Communication,Competitive Analysis,4.5,manager,2025-03-22,,
136,1,Expertise,Visual Design,4.0,manager,2025-03-22,Manager assessment for Visual Design,
137,1,Decision Making,Interaction Design,4.5,manager,2025-03-22,Manager assessment for Interaction Design,
138,1,Continuous Improvement,Design Systems and A11y,4.0,manager,2025-03-22,Manager assessment for Design Systems and A11y,
139,1,Accountability,UX Strategy,4.5,manager,2025-03-22,Manager assessment for UX Strategy,
140,1,Initiative,User Testing and Validation,4.5,manager,2025-03-22,Manager assessment for User Testing and Validation,
141,1,Personal Development,Influence,4.8,manager,2025-03-22,Manager assessment for Influence,
142,1,Collaboration,Cross-Functional Collaboration,3.6,manager,2025-03-22,Manager assessment for Cross-Functional Collaboration,
143,1,Communication,Competitive Analysis,4.4,manager,2025-03-22,Manager assessment for Competitive Analysis,
144,1,Open Minded,Resource Management and Operations,3.8,manager,2025-03-22,Manager assessment for Resource Management and Operations,
145,1,Collaboration,Cross-Functional Collaboration,3.6,manager,2025-03-22,Manager assessment for Cross-Functional Collaboration,
146,3,Expertise,Visual Design,3.0,manager,2025-03-22,,
147,3,Decision Making,Interaction Design,2.5,manager,2025-03-22,,
148,3,Continuous Improvement,Design Systems and A11y,2.5,manager,2025-03-22,,
149,3,Accountability,UX Strategy,2.5,manager,2025-03-22,,
150,3,Initiative,User Testing and Validation,3.0,manager,2025-03-22,,
151,3,Personal Development,Influence,3.5,manager,2025-03-22,,
152,3,Collaboration,Cross-Functional Collaboration,2.5,manager,2025-03-22,,
153,3,Communication,Competitive Analysis,2.5,manager,2025-03-22,,
154,3,Open Minded,Resource Management and Operations,3.0,manager,2025-03-22,,
